,GEO,year,Labour force,Employment,Population,Part-time employment ,Full-time employment
195,Newfoundland and Labrador,1979,207383.33333333334,176800.0,388600.0,15708.333333333334,161108.33333333334
196,Newfoundland and Labrador,1980,210291.66666666666,182291.66666666666,395633.3333333333,16208.333333333334,166091.66666666666
197,Newfoundland and Labrador,1981,215175.0,186141.66666666666,401808.3333333333,16491.666666666668,169675.0
198,Newfoundland and Labrador,1982,216425.0,181150.0,406491.6666666667,17791.666666666668,163350.0
199,Newfoundland and Labrador,1983,220666.66666666666,180783.33333333334,413800.0,20025.0,160750.0
200,Newfoundland and Labrador,1984,224425.0,179100.0,418591.6666666667,20291.666666666668,158808.33333333334
201,Newfoundland and Labrador,1985,228791.66666666666,182683.33333333334,421925.0,21883.333333333332,160816.66666666666
202,Newfoundland and Labrador,1986,230366.66666666666,186816.66666666666,424241.6666666667,22025.0,164766.66666666666
203,Newfoundland and Labrador,1987,230808.33333333334,189733.33333333334,427133.3333333333,22958.333333333332,166766.66666666666
204,Newfoundland and Labrador,1988,237908.33333333334,199533.33333333334,430916.6666666667,23925.0,175641.66666666666
205,Newfoundland and Labrador,1989,244166.66666666666,206675.0,435583.3333333333,26016.666666666668,180641.66666666666
206,Newfoundland and Labrador,1990,249233.33333333334,206991.66666666666,439825.0,25650.0,181341.66666666666
207,Newfoundland and Labrador,1991,249841.66666666666,204916.66666666666,444450.0,27541.666666666668,177366.66666666666
208,Newfoundland and Labrador,1992,243700.0,194783.33333333334,447950.0,28700.0,166091.66666666666
209,Newfoundland and Labrador,1993,242566.66666666666,193933.33333333334,450316.6666666667,29966.666666666668,163941.66666666666
210,Newfoundland and Labrador,1994,241916.66666666666,193633.33333333334,449091.6666666667,29066.666666666668,164541.66666666666
211,Newfoundland and Labrador,1995,237175.0,194700.0,446666.6666666667,31758.333333333332,162925.0
212,Newfoundland and Labrador,1996,233366.66666666666,189008.33333333334,443725.0,31725.0,157266.66666666666
213,Newfoundland and Labrador,1997,231275.0,189216.66666666666,439466.6666666667,31833.333333333332,157366.66666666666
214,Newfoundland and Labrador,1998,234975.0,193383.33333333334,434075.0,32000.0,161366.66666666666
215,Newfoundland and Labrador,1999,242225.0,201841.66666666666,431183.3333333333,31541.666666666668,170300.0
216,Newfoundland and Labrador,2000,238550.0,199000.0,429333.3333333333,29775.0,169241.66666666666
217,Newfoundland and Labrador,2001,242541.66666666666,203683.33333333334,426608.3333333333,29916.666666666668,173775.0
218,Newfoundland and Labrador,2002,248216.66666666666,206708.33333333334,426008.3333333333,32716.666666666668,173966.66666666666
219,Newfoundland and Labrador,2003,252108.33333333334,210291.66666666666,426750.0,32125.0,178158.33333333334
220,Newfoundland and Labrador,2004,252508.33333333334,213358.33333333334,427383.3333333333,31858.333333333332,181508.33333333334
221,Newfoundland and Labrador,2005,250491.66666666666,212541.66666666666,426858.3333333333,31716.666666666668,180816.66666666666
222,Newfoundland and Labrador,2006,251816.66666666666,214191.66666666666,425533.3333333333,32791.666666666664,181400.0
223,Newfoundland and Labrador,2007,252158.33333333334,217716.66666666666,425375.0,31358.333333333332,186341.66666666666
224,Newfoundland and Labrador,2008,255308.33333333334,221100.0,427875.0,32050.0,189050.0
225,Newfoundland and Labrador,2009,256333.33333333334,215650.0,432366.6666666667,30983.333333333332,184675.0
226,Newfoundland and Labrador,2010,263691.6666666667,224716.66666666666,437333.3333333333,33400.0,191325.0
227,Newfoundland and Labrador,2011,267991.6666666667,232900.0,440541.6666666667,34808.333333333336,198091.66666666666
228,Newfoundland and Labrador,2012,274708.3333333333,239600.0,442750.0,32750.0,206841.66666666666
229,Newfoundland and Labrador,2013,274391.6666666667,241916.66666666666,444541.6666666667,35000.0,206908.33333333334
230,Newfoundland and Labrador,2014,273525.0,239125.0,445833.3333333333,36125.0,203000.0
231,Newfoundland and Labrador,2015,275833.3333333333,239616.66666666666,446650.0,34941.666666666664,204675.0
232,Newfoundland and Labrador,2016,271958.3333333333,234691.66666666666,447900.0,38275.0,196408.33333333334
233,Newfoundland and Labrador,2017,265975.0,225583.33333333334,447725.0,33916.666666666664,191708.33333333334
234,Newfoundland and Labrador,2018,263175.0,226308.33333333334,446650.0,37383.333333333336,188933.33333333334
235,Newfoundland and Labrador,2019,261875.0,229900.0,445800.0,35816.666666666664,194083.33333333334
236,Newfoundland and Labrador,2020,251441.66666666666,215100.0,445541.6666666667,33966.666666666664,181158.33333333334
237,Newfoundland and Labrador,2021,256350.0,222858.33333333334,445258.3333333333,33758.333333333336,189100.0
238,Newfoundland and Labrador,2022,261716.66666666666,232491.66666666666,448441.6666666667,35391.666666666664,197075.0
239,Newfoundland and Labrador,2023,265900.0,234500.0,451400.0,35700.0,198800.0
240,Nova Scotia,1976,328158.3333333333,298041.6666666667,589491.6666666666,36891.666666666664,261166.66666666666
241,Nova Scotia,1977,332650.0,298125.0,598941.6666666666,39291.666666666664,258816.66666666666
242,Nova Scotia,1978,341950.0,305875.0,608483.3333333334,38950.0,266966.6666666667
243,Nova Scotia,1979,352533.3333333333,317325.0,618233.3333333334,41658.333333333336,275666.6666666667
244,Nova Scotia,1980,358883.3333333333,324316.6666666667,626633.3333333334,44608.333333333336,279700.0
245,Nova Scotia,1981,364691.6666666667,328475.0,632666.6666666666,49966.666666666664,278508.3333333333
246,Nova Scotia,1982,368400.0,321116.6666666667,639750.0,50766.666666666664,270375.0
247,Nova Scotia,1983,375150.0,324575.0,650133.3333333334,53091.666666666664,271475.0
248,Nova Scotia,1984,391033.3333333333,339825.0,659758.3333333334,55666.666666666664,284158.3333333333
249,Nova Scotia,1985,397016.6666666667,343708.3333333333,668291.6666666666,56741.666666666664,286958.3333333333
